year_film,year,ceremony,award,nominee,film,winner
1989,1990,47,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Amy Madigan,Roe vs. Wade,True
1989,1990,47,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Anjelica Huston,Lonesome Dove,False
1989,1990,47,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rhea Perlman,Cheers,False
1989,1990,47,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Susan Ruttan,L.A. Law,False
1989,1990,47,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Julie Sommars,Matlock,False
1989,1990,47,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Dean Stockwell,Quantum Leap,True
1989,1990,47,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Larry Drake,L.A. Law,False
1989,1990,47,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Tommy Lee Jones,Lonesome Dove,False
1989,1990,47,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Michael Tucker,L.A. Law,False
1989,1990,47,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Christopher Burke,Life Goes On,False
1990,1991,48,Best Performance by an Actress in a Motion Picture - Drama,Kathy Bates,Misery,True
1990,1991,48,Best Performance by an Actress in a Motion Picture - Drama,Michelle Pfeiffer,"Russia House, The",False
1990,1991,48,Best Performance by an Actress in a Motion Picture - Drama,Susan Sarandon,White Palace,False
1990,1991,48,Best Performance by an Actress in a Motion Picture - Drama,Joanne Woodward,Mr. & Mrs. Bridge,False
1990,1991,48,Best Performance by an Actress in a Motion Picture - Drama,Anjelica Huston,"Grifters, The",False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Drama,Jeremy Irons,Reversal of Fortune,True
1990,1991,48,Best Performance by an Actor in a Motion Picture - Drama,Kevin Costner,Dances with Wolves,False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Drama,Richard Harris,"Field, The",False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,"Godfather Part III, The",False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Drama,Robin Williams,Awakenings,False
1990,1991,48,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julia Roberts,Pretty Woman,True
1990,1991,48,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Mia Farrow,Alice (1990),False
1990,1991,48,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Andie MacDowell,Green Card,False
1990,1991,48,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Demi Moore,Ghost,False
1990,1991,48,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,Postcards From The Edge,False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gérard Depardieu,Green Card,True
1990,1991,48,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Patrick Swayze,Ghost,False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Macaulay Culkin,Home Alone,False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Edward Scissorhands,False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Gere,Pretty Woman,False
1990,1991,48,Best Performance by an Actress in a Supporting Role in any Motion Picture,Whoopi Goldberg,Ghost,True
1990,1991,48,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lorraine Bracco,GoodFellas,False
1990,1991,48,Best Performance by an Actress in a Supporting Role in any Motion Picture,Diane Ladd,Wild at Heart,False
1990,1991,48,Best Performance by an Actress in a Supporting Role in any Motion Picture,Shirley MacLaine,Postcards From The Edge,False
1990,1991,48,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mary McDonnell,Dances with Wolves,False
1990,1991,48,Best Performance by an Actress in a Supporting Role in any Motion Picture,Winona Ryder,Mermaids,False
1990,1991,48,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bruce Davison,Longtime Companion,True
1990,1991,48,Best Performance by an Actor in a Supporting Role in any Motion Picture,Al Pacino,Dick Tracy,False
1990,1991,48,Best Performance by an Actor in a Supporting Role in any Motion Picture,Joe Pesci,GoodFellas,False
1990,1991,48,Best Performance by an Actor in a Supporting Role in any Motion Picture,Armand Assante,Q & A,False
1990,1991,48,Best Performance by an Actor in a Supporting Role in any Motion Picture,Hector Elizondo,Pretty Woman,False
1990,1991,48,Best Performance by an Actor in a Supporting Role in any Motion Picture,Andy Garcia,"Godfather Part III, The",False
1990,1991,48,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Barbara Hershey,"Killing in a Small Town, A",True
1990,1991,48,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Annette O'Toole,"Kennedys of Massachusetts, The",False
1990,1991,48,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Suzanne Pleshette,Leona Helmsley: The Queen of Mean,False
1990,1991,48,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Lesley Ann Warren,Family of Spies,False
1990,1991,48,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Stephanie Zimbalist,Caroline?,False
1990,1991,48,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Garner,Decoration Day,True
1990,1991,48,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Burt Lancaster,"Phantom of the Opera, The",False
1990,1991,48,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ricky/Rick Schroder,"Stranger Within, The",False
1990,1991,48,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Steven Bauer,Drug Wars: The Camarena Story,False
1990,1991,48,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Michael Caine,Jekyll & Hyde,False
1990,1991,48,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Tom Hulce,Murder In Mississippi,False
1990,1991,48,Best Performance by an Actress In A Television Series - Drama,Sharon Gless,"Trials of Rosie O'Neill, The",True
1990,1991,48,Best Performance by an Actress In A Television Series - Drama,Patricia Wettig,Thirtysomething,True
1990,1991,48,Best Performance by an Actress In A Television Series - Drama,Susan Dey,L.A. Law,False
1990,1991,48,Best Performance by an Actress In A Television Series - Drama,Jill Eikenberry,L.A. Law,False
1990,1991,48,Best Performance by an Actress In A Television Series - Drama,Angela Lansbury,"Murder, She Wrote",False
1990,1991,48,Best Performance by an Actress In A Television Series - Drama,Dana Delaney,China Beach,False
1990,1991,48,Best Performance by an Actor In A Television Series - Drama,Kyle MacLachlan,Twin Peaks,True
1990,1991,48,Best Performance by an Actor In A Television Series - Drama,Scott Bakula,Quantum Leap,False
1990,1991,48,Best Performance by an Actor In A Television Series - Drama,Peter Falk,Columbo,False
1990,1991,48,Best Performance by an Actor In A Television Series - Drama,James Earl Jones,Gabriel's Fire,False
1990,1991,48,Best Performance by an Actor In A Television Series - Drama,Carroll O'Connor,In The Heat of the Night (TV),False
1990,1991,48,Best Performance by an Actress in a Television Series - Musical or Comedy,Kirstie Alley,Cheers,True
1990,1991,48,Best Performance by an Actress in a Television Series - Musical or Comedy,Candice Bergen,Murphy Brown,False
1990,1991,48,Best Performance by an Actress in a Television Series - Musical or Comedy,Carol Burnett,Carol & Company,False
1990,1991,48,Best Performance by an Actress in a Television Series - Musical or Comedy,Roseanne Barr,Roseanne,False
1990,1991,48,Best Performance by an Actress in a Television Series - Musical or Comedy,Katey Sagal,Married With Children,False
1990,1991,48,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,True
1990,1991,48,Best Performance by an Actor in a Television Series - Musical or Comedy,Fred Savage,"Wonder Years, The",False
1990,1991,48,Best Performance by an Actor in a Television Series - Musical or Comedy,John Goodman,Roseanne,False
1990,1991,48,Best Performance by an Actor in a Television Series - Musical or Comedy,Richard Mulligan,Empty Nest,False
1990,1991,48,Best Performance by an Actor in a Television Series - Musical or Comedy,Burt Reynolds,Evening Shade,False
1990,1991,48,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Piper Laurie,Twin Peaks,True
1990,1991,48,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sherilyn Fenn,Twin Peaks,False
1990,1991,48,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Faith Ford,Murphy Brown,False
1990,1991,48,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Marg Helgenberger,China Beach,False
1990,1991,48,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Park Overall,Empty Nest,False
1990,1991,48,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Charles Durning,"Kennedys of Massachusetts, The",True
1990,1991,48,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Barry Miller,Equal Justice,False
1990,1991,48,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jimmy Smits,L.A. Law,False
1990,1991,48,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Dean Stockwell,Quantum Leap,False
1990,1991,48,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Blair Underwood,L.A. Law,False
1991,1992,49,Best Performance by an Actress in a Motion Picture - Drama,Jodie Foster,"Silence of the Lambs, The",True
1991,1992,49,Best Performance by an Actress in a Motion Picture - Drama,Geena Davis,Thelma & Louise,False
1991,1992,49,Best Performance by an Actress in a Motion Picture - Drama,Laura Dern,Rambling Rose,False
1991,1992,49,Best Performance by an Actress in a Motion Picture - Drama,Susan Sarandon,Thelma & Louise,False
1991,1992,49,Best Performance by an Actress in a Motion Picture - Drama,Annette Bening,Bugsy,False
1991,1992,49,Best Performance by an Actor in a Motion Picture - Drama,Nick Nolte,"Prince of Tides, The",True
1991,1992,49,Best Performance by an Actor in a Motion Picture - Drama,Warren Beatty,Bugsy,False
1991,1992,49,Best Performance by an Actor in a Motion Picture - Drama,Kevin Costner,JFK,False
1991,1992,49,Best Performance by an Actor in a Motion Picture - Drama,Robert De Niro,Cape Fear,False
1991,1992,49,Best Performance by an Actor in a Motion Picture - Drama,Anthony Hopkins,"Silence of the Lambs, The",False
1991,1992,49,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Bette Midler,For The Boys,True
1991,1992,49,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ellen Barkin,Switch,False
1991,1992,49,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kathy Bates,Fried Green Tomatoes,False
1991,1992,49,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Anjelica Huston,"Addams Family, The",False
1991,1992,49,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Michelle Pfeiffer,Frankie & Johnny,False
1991,1992,49,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robin Williams,"Fisher King, The",True
1991,1992,49,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Billy Crystal,City Slickers,False
1991,1992,49,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dustin Hoffman,Hook,False
1991,1992,49,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Kline,Soapdish,False
